Figurine ID, Animal Type, Material, Estimated Age
F001, Fox, Limestone, 9500 years
F002, Boar, Limestone, 9400 years
F003, Vulture, Basalt, 9600 years
F004, Snake, Limestone, 9500 years
F005, Fox, Bone, 9300 years
F006, Aurochs, Limestone, 9550 years
F007, Crane, Basalt, 9450 years
F008, Scorpion, Limestone, 9500 years
F009, Boar, Basalt, 9350 years
F010, Vulture, Limestone, 9600 years
F011, Snake, Bone, 9400 years
F012, Fox, Limestone, 9500 years
F013, Gazelle, Limestone, 9250 years
F014, Aurochs, Basalt, 9550 years
F015, Crane, Limestone, 9450 years
F016, Boar, Limestone, 9400 years
F017, Spider, Basalt, 9500 years
F018, Vulture, Bone, 9600 years
F019, Snake, Limestone, 9400 years
F020, Fox, Basalt, 9500 years
F021, Gazelle, Bone, 9250 years
F022, Scorpion, Basalt, 9500 years
F023, Aurochs, Limestone, 9550 years
F024, Crane, Bone, 9450 years
F025, Boar, Bone, 9400 years
F026, Spider, Limestone, 9500 years
F027, Vulture, Basalt, 9600 years
F028, Gazelle, Limestone, 9250 years
F029, Snake, Basalt, 9400 years
